show_id,title,original_title,status,auditory,rating_myshows,rating_count,rating_kinopoisk,kinopoisk_count,rating_imdb,imdb_count,country,genre,channel,total_length,episode_length,dates,actors,seasons,episodes_in_season
2479,Телевизионная служба новостей,E.N.G.,Отменен/Закончен,39,3.93,14,8.185,183,7.5,183,['Канада'],['Драма'],CTV,4 дня,60 мин.,01.09.1989 — 17.03.1994,"['David Cubitt', 'Sara Botsford', 'Mark Humphrey', 'Art Hindle', 'Jonathan Welsh', 'Karl Pruner', 'George R. Robertson', 'Theresa Tova', 'James Millington', 'Sherry Miller', 'Neil Dainard']",5,"['26', '20', '18', '18', '14']"
2481,Ария,Aria the Animation,Отменен/Закончен,431,3.77,178,6.972,279,7.3,394,['Япония'],"['Аниме', ' Фэнтези', ' Фантастика']",TV Osaka,1 день 1 час 5 минут,25 мин.,06.10.2005 — 24.06.2016,"['Erino Hazuki', 'Chinami Nishimura', 'Chiwa Saito', 'Junko Minagawa', 'Kaori Mizuhashi', 'Ryou Hirohashi', 'Sayaka Ohara', 'Tomoko Kawakami']",3,"['14', '27', '24']"
2482,Ария: Происхождение,Aria the Origination,Отменен/Закончен,168,4.06,71,6.64,111,8.3,265,['Япония'],"['Аниме', ' Драма', ' Фантастика']",TV Tokyo,4 часа 46 минут,22 мин.,07.01.2008 — 01.03.2008,,1,['13']
2483,Лиричная волшебница Наноха,Mahou Shoujo Lyrical Nanoha,Отменен/Закончен,164,3.62,65,6.598,178,6.7,193,['Япония'],"['Аниме', ' Фэнтези']",TVK,1 день 3 часа 5 минут,25 мин.,01.10.2004 — 19.06.2015,,4,"['13', '13', '26', '13']"
2484,Счастливая карта,Wild Card,Отменен/Закончен,53,3.65,20,6.338,88,6.8,338,['США'],"['Детектив', ' Драма', ' Комедия']",Lifetime,1 день 3 часа,45 мин.,02.08.2003 — 16.07.2005,"['Joely Fisher', 'Chris Potter', 'Aislinn Paul', 'Bronson Picket', 'Jamie Johnston', 'Loretta Devine', 'Rae Dawn Chong', 'Vikki Krinsky']",2,"['18', '18']"
2486,Последний шанс увидеть,Last Chance to See,Отменен/Закончен,84,4.48,29,7.86,67,8.2,524,['Великобритания'],['Природа'],BBC TWO,6 часов 53 минуты,59 мин.,06.09.2009 — 31.10.2010,"['Stephen Fry', 'Mark Carwardine']",1,['7']
2487,Соник X,Sonic X,Отменен/Закончен,2619,3.88,1488,6.327,7909,6.2,4781,['США'],,FOX,1 день 4 часа 36 минут,22 мин.,23.08.2003 — 06.05.2006,,3,"['26', '26', '26']"
2489,Тайная улыбка,Secret Smile,Отменен/Закончен,1266,3.93,627,7.366,1513,6.8,1675,['Великобритания'],['Драма'],ITV,3 часа,90 мин.,12.12.2005 — 13.12.2005,"['David Tennant', 'Kate Ashfield', 'Claire Goose']",1,['2']
2491,Трапеция,Kuuchuu Buranko/ Trapeze,Отменен/Закончен,697,4.11,321,7.518,553,7.5,245,['Япония'],"['Аниме', ' Комедия']",Fuji TV,4 часа 35 минут,25 мин.,15.10.2009 — 24.12.2009,,1,['11']
2492,Императрица,Jotei,Отменен/Закончен,174,3.6,105,7.557,206,7.0,52,['Япония'],['Драма'],TV Asahi,7 часов 40 минут,46 мин.,13.07.2007 — 14.09.2007,,1,['10']
2493,Дьявол,The Lucifer,Отменен/Закончен,85,3.84,37,7.723,179,8.0,141,['Южная Корея'],"['Драма', ' Романтика']",KBS2,23 часа 20 минут,70 мин.,21.03.2007 — 01.05.2007,,1,['20']
2494,Sanctuary (UK),,Отменен/Закончен,8,2.0,1,,,,,['Великобритания'],['Драма'],ITV London,1 день 2 часа,60 мин.,29.06.1967 — 24.06.1968,"['Tenniel Evans', 'Eric Lander', 'Fay Compton']",2,"['13', '13']"
2495,Телохранители,Bodyguards,Отменен/Закончен,51,4.15,13,,,8.0,93,['Великобритания'],"['Драма', ' Боевик', ' Приключения', ' Криминал']",ITV,5 часов 1 минута,43 мин.,11.04.1996 — 15.06.1997,,1,['7']
2497,Герой,Hero,Отменен/Закончен,69,4.37,30,7.653,215,7.8,988,['Япония'],['Драма'],Fuji TV,21 час 56 минут,43 мин.,08.01.2001 — 08.07.2015,"['Matsu Takako', 'Takuya Kimura', 'Hiroshi Abe', 'Otsuka Nene', 'Kiyoshi Kodama', 'Norito Yashima', 'Takuzô Kadono', 'Fumiyo Kohinata', 'Masanobu Katsumura', 'Keiko Kitagawa']",2,"['12', '13']"
2503,Коты быстрого реагирования,Swat Kats: The Radical Squadron,Отменен/Закончен,237,4.03,115,7.239,1275,8.4,4438,['США'],['Мультфильмы'],,9 часов 32 минуты,22 мин.,11.09.1993 — 04.01.1995,"['Barry Gordon', 'Charles Adler', 'Tress MacNeille', 'Candi Milo', 'Gary Owens', 'Jim Cummings', 'Lori Alan']",3,"['13', '12', '1']"
2504,Ярмарка тщеславия,Vanity Fair (1998),Отменен/Закончен,479,4.05,196,7.857,1328,7.7,1650,['Великобритания'],"['Литературный', ' Драма']",BBC One,5 часов,50 мин.,01.11.1998 — 06.12.1998,"['Natasha Little', 'Anton Lesser', 'Nathaniel Parker', 'Nick Dunning', 'Sylvestra Le Touzel', 'Frances Grey', 'Philip Glenister', 'Abigail Thaw', 'David Bradley', 'Graham Crowden', 'Jeremy Swift', 'Joanna Scanlan', 'Michele Dotrice', 'Miriam Margolyes', 'Tim Woodward']",1,['6']
2505,Тэсс из рода Д`Эрбервиллей,Tess of the D'Urbervilles,Отменен/Закончен,3448,4.01,1555,7.709,6908,7.6,6291,['Великобритания'],"['Драма', ' Романтика']",BBC One,3 часа 52 минуты,58 мин.,14.09.2008 — 05.10.2008,"['Gemma Arterton', 'Hans Matheson', 'Eddie Redmayne', 'Jodie Whittaker', 'Ruth Jones', 'Ian Puleston-Davies', 'Christopher Fairbank', 'Donald Sumpter', 'Anna Massey']",1,['4']
2506,Эмили из Нью-Мун,Emily of New Moon,Отменен/Закончен,39,4.75,4,,,7.4,486,['Канада'],['Драма'],CBC,1 день 22 часа,60 мин.,04.01.1998 — 06.06.2000,"['Susan Clark', 'Stephen McHattie', 'Martha MacIsaac', 'Sheila McCarthy']",4,"['13', '13', '13', '7']"
2507,Дорога в Эйвонли,Road to Avonlea,Отменен/Закончен,136,4.4,25,7.171,381,8.5,4422,['Канада'],"['Драма', ' Семейный', ' Исторический']",CBC,3 дня 5 часов 20 минут,50 мин.,07.01.1990 — 13.12.1998,"['Mag Ruffman', 'Jackie Burroughs', 'Zachary Bennett', 'Patricia Hamilton', 'Sarah Polley', 'Lally Cadeau', 'Cedric Smith', 'Gema Zamprogna', 'Harmony Cramp', 'Michael Mahonen', 'Kay Tremblay', 'Molly Atkinson', 'R.H. Thomson']",7,"['13', '13', '13', '13', '13', '13', '14']"
2508,Lunch Monkeys,,Отменен/Закончен,11,3.4,5,,,6.3,162,['Великобритания'],['Комедия'],BBC Three,4 часа 24 минуты,22 мин.,10.09.2009 — 10.03.2011,"['Jessica Hall', 'Abdullah Afzal', 'Chris Hannon', 'Christian Foster', 'Nigel Havers', 'Steve John Shepherd', 'Jessica Hall', 'Rachel Rae', 'Siân Reeves']",2,"['6', '6']"
2510,Мартин Чезлвит,Martin Chuzzlewit (1994),Отменен/Закончен,39,3.53,15,7.492,194,8.1,877,['Великобритания'],['Драма'],BBC One,5 часов 30 минут,55 мин.,07.11.1994 — 12.12.1994,"['Emma Chambers', 'Julia Sawalha', 'Keith Allen', 'Tom Wilkinson', 'Paul Scofield', 'Peter Wingfield', 'Pauline Turner', 'Philip Franks', 'Pete Postlethwaite', 'Ben Walden']",1,['6']
2512,Макросс 7,Macross 7,Отменен/Закончен,193,3.74,81,5.602,129,6.4,371,['Япония'],"['Боевик', ' Приключения', ' Фантастика', ' Аниме']",MBS,23 часа 45 минут,25 мин.,16.10.1994 — 25.08.1998,,3,"['50', '3', '4']"
2513,Гиперпространственная крепость Макросс,Macross,Отменен/Закончен,377,4.01,175,7.679,534,8.5,2135,['Япония'],"['Боевик', ' Фантастика', ' Аниме']",MBS,15 часов,25 мин.,03.10.1982 — 26.06.1983,,1,['36']
